roi,classification_accuracy,per_class
"Lateral Occipital Cortex, superior division",0.8594957169552759,"[('Control', 0.7586404441174558), ('Food', 0.8561243269031582), ('Social', 0.9637223798452134)]"
Temporal Occipital Fusiform Cortex,0.8334440106675788,"[('Control', 0.7194048147576068), ('Food', 0.8068676314638976), ('Social', 0.9740595857812319)]"
"Lateral Occipital Cortex, inferior division",0.8310643225252439,"[('Control', 0.6894560512625496), ('Food', 0.8138011894589212), ('Social', 0.9899357268542605)]"
Frontal Pole,0.7634698656556314,"[('Control', 0.677625265866478), ('Food', 0.8172887204566038), ('Social', 0.7954956106438124)]"
Occipital Fusiform Gyrus,0.7631745922778483,"[('Control', 0.6482232147803696), ('Food', 0.7456473303001071), ('Social', 0.8956532317530689)]"
"Inferior Temporal Gyrus, temporooccipital part",0.7532542172304763,"[('Control', 0.656619066631017), ('Food', 0.7681991324864145), ('Social', 0.834944452573997)]"
Occipital Pole,0.7520350823061995,"[('Control', 0.6552947963938509), ('Food', 0.785559368541522), ('Social', 0.8152510819832255)]"
Lingual Gyrus,0.7376117255196089,"[('Control', 0.6474582935135805), ('Food', 0.726239039782417), ('Social', 0.839137843262829)]"
Precuneous Cortex,0.7341257407678392,"[('Control', 0.679173512803744), ('Food', 0.7016970403310113), ('Social', 0.8215066691687624)]"
"Middle Temporal Gyrus, temporooccipital part",0.7313729808098399,"[('Control', 0.6358952752546055), ('Food', 0.6796483200731299), ('Social', 0.8785753471017843)]"
"Temporal Fusiform Cortex, posterior division",0.7281818460216579,"[('Control', 0.658827190477825), ('Food', 0.7089281267764577), ('Social', 0.8167902208106911)]"
Insular Cortex,0.7133802486298191,"[('Control', 0.6282964394667495), ('Food', 0.8073312041433017), ('Social', 0.7045131022794061)]"
Middle Frontal Gyrus,0.6908785159562041,"[('Control', 0.6083403638908158), ('Food', 0.7094952289312108), ('Social', 0.7547999550465855)]"
Angular Gyrus,0.6902922409794084,"[('Control', 0.6277933293107103), ('Food', 0.6337720600677583), ('Social', 0.8093113335597564)]"
Precentral Gyrus,0.6865700914715174,"[('Control', 0.6346190295963888), ('Food', 0.6860599777310479), ('Social', 0.739031267087115)]"
"Supramarginal Gyrus, posterior division",0.6835812733950456,"[('Control', 0.6192370317076638), ('Food', 0.6429600069673277), ('Social', 0.7885467815101457)]"
Postcentral Gyrus,0.6828495823015827,"[('Control', 0.6072454053726105), ('Food', 0.7221937029238689), ('Social', 0.7191096386082688)]"
"Supramarginal Gyrus, anterior division",0.6797883070788933,"[('Control', 0.5956236454509433), ('Food', 0.7134775429390922), ('Social', 0.7302637328466441)]"
Frontal Medial Cortex,0.6635489926731655,"[('Control', 0.6451411828529069), ('Food', 0.6399847506907109), ('Social', 0.7055210444758787)]"
Superior Parietal Lobule,0.6619319362245635,"[('Control', 0.6180038049316876), ('Food', 0.6828831010238418), ('Social', 0.6849089027181611)]"
"Inferior Frontal Gyrus, pars triangularis",0.6615754340177413,"[('Control', 0.5862578551801508), ('Food', 0.6853081540766998), ('Social', 0.7131602927963733)]"
Frontal Orbital Cortex,0.656510807462287,"[('Control', 0.609380316200452), ('Food', 0.6753169716302704), ('Social', 0.6848351345561386)]"
"Superior Temporal Gyrus, posterior division",0.6547386747805622,"[('Control', 0.634519075618689), ('Food', 0.5945980327687209), ('Social', 0.735098915954277)]"
"Inferior Frontal Gyrus, pars opercularis",0.6495012764150239,"[('Control', 0.6291803589408217), ('Food', 0.6480883244269569), ('Social', 0.671235145877293)]"
Central Opercular Cortex,0.6446041148784061,"[('Control', 0.5719603621836099), ('Food', 0.6921148383604078), ('Social', 0.6697371440912003)]"
Superior Frontal Gyrus,0.6445003188089342,"[('Control', 0.6431123890316077), ('Food', 0.6635877680042491), ('Social', 0.626800799390946)]"
"Middle Temporal Gyrus, anterior division",0.6437842909042953,"[('Control', 0.629379269520561), ('Food', 0.5793276186342594), ('Social', 0.7226459845580654)]"
"Middle Temporal Gyrus, posterior division",0.6336186492638037,"[('Control', 0.6225045849170905), ('Food', 0.5806002793856226), ('Social', 0.6977510834886981)]"
Cuneal Cortex,0.6325917036109666,"[('Control', 0.6094916270877895), ('Food', 0.5977812889164692), ('Social', 0.6905021948286412)]"
"Cingulate Gyrus, posterior division",0.6315396636101557,"[('Control', 0.5937576685015368), ('Food', 0.6266077883823274), ('Social', 0.6742535339466027)]"
Subcallosal Cortex,0.6268744954157354,"[('Control', 0.6254489037298386), ('Food', 0.5858348832174721), ('Social', 0.6693396992998951)]"
"Inferior Temporal Gyrus, posterior division",0.624635330603811,"[('Control', 0.5967027306414278), ('Food', 0.6146351686400403), ('Social', 0.662568092529965)]"
Intracalcarine Cortex,0.6227735783871531,"[('Control', 0.5952069117907418), ('Food', 0.5956241441387733), ('Social', 0.677489679231944)]"
Temporal Pole,0.6158482597187295,"[('Control', 0.5918283676069246), ('Food', 0.5789896023775628), ('Social', 0.6767268091717008)]"
Planum Temporale,0.6068891666235099,"[('Control', 0.6067164763598633), ('Food', 0.5675691806103548), ('Social', 0.6463818429003113)]"
Paracingulate Gyrus,0.604209324862741,"[('Control', 0.5831920164933567), ('Food', 0.6058081023637126), ('Social', 0.6236278557311539)]"
"Cingulate Gyrus, anterior division",0.6005766161149008,"[('Control', 0.5782463693267766), ('Food', 0.6058018452428268), ('Social', 0.6176816337750992)]"
Parietal Opercular Cortex,0.5982921114836653,"[('Control', 0.5740925537513971), ('Food', 0.5825850287214082), ('Social', 0.6381987519781912)]"
"Parahippocampal Gyrus, anterior division",0.5636730549142243,"[('Control', 0.5531284512961517), ('Food', 0.5526883922183923), ('Social', 0.5852023212281285)]"
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.5459889760005573,"[('Control', 0.5393134622981463), ('Food', 0.5346436365475778), ('Social', 0.5640098291559478)]"
