roi,classification_accuracy,per_class
"Lateral Occipital Cortex, superior division",0.8597247250705765,"[('Control', 0.7615016119096139), ('Food', 0.8548986199632905), ('Social', 0.9627739433388254)]"
"Lateral Occipital Cortex, inferior division",0.8326415836850118,"[('Control', 0.6909875667526592), ('Food', 0.8176210874270147), ('Social', 0.9893160968753613)]"
Temporal Occipital Fusiform Cortex,0.8279378735077755,"[('Control', 0.710941688977772), ('Food', 0.8001076262429183), ('Social', 0.972764305302636)]"
Occipital Fusiform Gyrus,0.7589301403461863,"[('Control', 0.6392049026621576), ('Food', 0.738417318385796), ('Social', 0.8991681999906058)]"
Occipital Pole,0.752903616476616,"[('Control', 0.6569572936538906), ('Food', 0.791792527947595), ('Social', 0.8099610278283617)]"
Lingual Gyrus,0.744244224103461,"[('Control', 0.6580026750744306), ('Food', 0.7329939583875303), ('Social', 0.841736038848422)]"
Precuneous Cortex,0.7356720512908527,"[('Control', 0.6748417221282808), ('Food', 0.7040985364998844), ('Social', 0.8280758952443923)]"
"Temporal Fusiform Cortex, posterior division",0.7295337536010907,"[('Control', 0.6643644564219853), ('Food', 0.701800413613568), ('Social', 0.8224363907677189)]"
Angular Gyrus,0.6837039807106794,"[('Control', 0.6203766331367788), ('Food', 0.6296131597583535), ('Social', 0.8011221492369061)]"
Frontal Orbital Cortex,0.6632913554854608,"[('Control', 0.619606922584981), ('Food', 0.6793507671587756), ('Social', 0.6909163767126257)]"
Frontal Medial Cortex,0.6614435458277932,"[('Control', 0.6515073206620707), ('Food', 0.6316073389987282), ('Social', 0.7012159778225807)]"
Central Opercular Cortex,0.6335927074601593,"[('Control', 0.5574652777777778), ('Food', 0.6898015440730141), ('Social', 0.6535113005296855)]"
Cuneal Cortex,0.6318659490981616,"[('Control', 0.6105948393600417), ('Food', 0.5974592325521737), ('Social', 0.6875437753822695)]"
"Cingulate Gyrus, posterior division",0.6305081820935463,"[('Control', 0.5903544326836918), ('Food', 0.6265293946554515), ('Social', 0.6746407189414961)]"
Intracalcarine Cortex,0.6224958795212354,"[('Control', 0.5908056454322754), ('Food', 0.6023075847822003), ('Social', 0.6743744083492311)]"
Subcallosal Cortex,0.6193869918427467,"[('Control', 0.6196534529822811), ('Food', 0.5718100764900566), ('Social', 0.6666974460559024)]"
Paracingulate Gyrus,0.6095477078274946,"[('Control', 0.5873578796139727), ('Food', 0.6090117106204475), ('Social', 0.6322735332480633)]"
"Cingulate Gyrus, anterior division",0.6047375795491771,"[('Control', 0.5796165244898255), ('Food', 0.6109025542150827), ('Social', 0.6236936599426234)]"
Planum Temporale,0.6009246425104541,"[('Control', 0.6025097961108221), ('Food', 0.5687064278565442), ('Social', 0.6315577035639958)]"
Parietal Opercular Cortex,0.5914449971034706,"[('Control', 0.5640061689754596), ('Food', 0.5768707116610303), ('Social', 0.6334581106739219)]"
"Parahippocampal Gyrus, anterior division",0.565380518761803,"[('Control', 0.5477427281152445), ('Food', 0.560446712137964), ('Social', 0.5879521160322003)]"
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),0.5392495436912264,"[('Control', 0.5323056336895884), ('Food', 0.5276085814653427), ('Social', 0.5578344159187478)]"
